724	0	812
690	4	420
638	4	90
540	0	18
121	2	862
6	2	828
114	4	468
98	2	103
203	1	659
608	2	429
348	1	287
395	1	459
12	0	130
8	4	787
18	0	116
799	2	170
276	0	285
500	4	6
772	2	767
428	1	940
743	2	38
785	4	637
90	0	559
687	2	884
775	2	655
82	2	259
203	2	369
163	2	474
559	2	623
473	0	159
738	2	340
749	1	751
291	1	841
664	1	375
601	2	194
576	1	830
105	2	635
115	3	27
817	2	738
353	0	499
579	1	195
34	2	328
656	0	57
732	2	840
555	0	60
136	0	23
51	1	555
79	1	792
135	4	527
624	4	79
556	0	414
4	4	658
659	2	784
583	2	496
161	2	497
12	0	687
421	3	93
79	2	440
8	4	915
60	4	495
116	0	132
62	1	627
199	3	208
131	2	404
110	4	79
927	2	658
381	1	874
904	2	486
430	4	60
750	2	589
26	1	116
381	1	750
17	2	709
24	2	851
8	4	933
5	2	707
712	1	367
787	2	348
747	0	18
387	4	29
784	1	301
248	2	211
428	1	738
19	2	513
431	2	594
899	2	785
159	2	662
650	1	243
442	2	716
313	1	428
256	4	22
666	4	58
64	4	65
841	0	268
261	2	341
8	3	481
805	2	160
392	0	8
119	4	57
274	4	278
747	1	684
821	2	902
136	1	898
42	2	478
890	2	779
432	2	627
354	4	662
446	0	656
795	2	432
446	0	57
685	2	409
4	1	909
150	0	465
305	0	4
180	1	289
325	4	327
204	4	592
873	1	417
930	2	864
325	2	424
293	4	301
921	2	713
577	1	831
650	2	167
574	4	575
6	1	578
311	0	768
380	1	612
634	0	827
747	2	645
708	2	919
288	2	442
281	3	283
904	2	627
745	0	578
130	3	340
747	1	6
349	0	60
500	4	440
354	2	227
518	2	500
4	0	79
887	0	724
12	1	687
814	2	346
385	1	293
60	0	597
96	1	263
135	1	59
146	2	762
675	1	480
615	0	250
165	2	922
293	0	246
431	2	344
342	2	363
6	0	78
376	2	248
136	0	924
118	2	25
541	2	176
586	0	445
690	2	768
472	2	135
634	3	313
451	4	18
876	2	115
302	4	303
110	1	9
420	2	435
51	0	84
44	2	213
60	2	838
775	2	255
933	2	825
453	4	451
4	4	747
480	1	210
512	2	236
4	3	243
641	2	461
243	3	8
692	2	725
462	2	50
258	2	834
71	0	72
587	2	556
657	2	896
537	2	171
130	1	583
474	1	559
765	1	876
499	2	785
876	2	784
388	1	893
545	2	830
757	1	472
130	2	782
5	2	252
467	2	599
121	1	235
699	4	698
313	2	619
851	2	445
18	0	541
544	2	924
521	2	97
820	2	899
256	4	41
718	0	50
441	2	914
869	1	620
684	2	940
688	2	906
18	1	937
511	4	759
204	0	509
574	3	573
110	2	17
486	2	432
115	3	77
293	4	130
754	2	298
147	2	361
58	4	354
687	0	428
17	2	789
733	2	596
81	2	657
690	2	18
825	2	847
58	3	313
731	4	724
446	0	655
555	2	910
644	1	558
429	3	269
115	2	646
840	2	616
58	3	834
504	2	109
486	2	306
271	3	150
328	2	337
32	2	368
899	2	4
395	3	204
659	2	785
133	2	414
290	4	575
320	2	653
405	2	907
731	1	624
359	2	716
386	4	348
375	2	78
803	2	738
114	4	579
707	2	746
18	4	311
527	0	308
115	0	500
374	2	213
431	0	434
468	0	626
67	2	584
79	3	386
608	2	839
377	3	6
636	4	468
18	0	525
292	4	290
6	4	825
599	2	431
578	2	474
522	2	100
269	4	60
428	2	463
385	4	517
60	3	626
60	3	782
84	1	654
321	4	464
4	3	545
60	3	77
665	0	110
760	2	123
18	4	816
699	2	881
302	0	395
890	2	778
584	2	521
116	0	5
346	2	728
619	2	865
547	2	438
268	3	79
658	2	744
468	1	627
637	2	763
516	2	257
57	2	180
395	1	386
298	2	45
120	2	642
110	3	573
596	4	203
724	0	4
24	2	556
580	2	437
4	1	385
60	4	473
199	4	135
228	0	482
116	1	300
500	1	496
246	2	803
38	1	249
478	2	177
689	2	727
780	2	301
221	3	220
203	1	433
22	4	575
571	3	269
246	1	407
250	2	2
579	2	501
428	0	783
418	2	784
617	1	614
38	1	215
243	4	715
428	4	79
26	4	120
340	2	646
110	2	845
280	0	277
21	2	486
842	1	55
725	0	724
348	1	794
249	2	448
593	4	591
475	2	583
302	1	520
208	4	32
886	2	717
110	1	851
591	0	60
57	3	587
724	1	845
610	2	602
490	0	121
469	4	73
716	0	717
110	3	117
159	1	512
848	2	514
586	0	119
386	1	458
74	2	469
124	4	125
211	4	4
282	0	5
354	2	602
77	4	576
728	2	474
736	3	256
18	3	377
320	2	246
138	0	276
517	2	303
256	0	474
661	2	241
638	2	642
473	1	653
580	2	556
78	4	257
11	0	90
340	4	110
97	2	224
258	2	907
180	4	102
428	0	687
368	2	870
938	2	645
851	2	587
90	0	555
21	3	65
4	4	413
651	1	515
407	1	805
623	2	559
353	1	12
79	0	715
242	2	313
11	4	9
512	0	513
162	1	323
272	2	549
574	2	608
834	2	684
353	4	354
520	2	692
50	0	266
777	2	476
110	0	4
12	4	114
468	1	757
60	0	550
60	1	199
136	3	256
211	4	527
5	4	710
78	4	827
58	0	841
22	2	538
750	2	611
395	1	457
883	1	197
115	1	347
664	0	634
315	4	210
927	4	199
7	1	91
302	1	109
881	0	58
787	2	822
353	1	594
32	3	87
784	3	480
493	0	498
210	0	380
739	0	740
576	0	115
325	2	456
337	0	330
292	4	291
642	4	352
252	2	731
119	4	25
60	1	565
78	2	375
354	4	22
183	1	186
462	2	520
241	4	762
392	0	588
252	4	418
637	2	351
6	4	672
129	4	491
22	0	316
491	2	712
116	1	851
416	0	153
724	0	301
601	2	198
413	4	716
57	2	101
18	4	425
927	4	634
699	4	60
118	2	605
451	2	736
649	0	115
744	2	900
658	2	98
6	3	766
150	4	152
359	0	360
724	0	204
8	0	413
60	0	637
58	1	67
473	1	419
340	2	491
4	3	650
623	2	405
185	2	267
23	2	249
739	2	425
6	3	38
807	4	721
622	1	621
287	2	465
835	2	709
192	0	195
6	1	520
858	1	938
41	1	920
31	4	448
617	1	828
375	2	256
58	3	117
394	2	792
181	4	102
290	4	6
440	2	604
6	0	4
241	4	340
77	4	293
473	1	224
579	1	459
60	1	501
527	4	637
666	2	906
22	1	138
724	2	502
110	1	558
845	2	716
14	2	693
194	2	611
599	4	890
641	2	642
538	4	18
283	0	285
115	3	354
163	2	600
22	4	62
4	3	127
50	2	111
18	0	44
149	2	430
842	4	6
458	0	210
780	2	753
687	1	584
834	2	515
4	0	413
783	1	843
703	3	114
389	0	204
126	2	676
667	2	556
58	0	243
841	2	655
804	2	936
353	2	820
133	2	775
112	2	642
18	1	516
754	2	34
846	2	620
429	2	503
9	4	8
416	2	251
413	0	102
750	2	423
149	1	838
713	0	18
848	2	282
8	3	110
256	4	79
386	2	607
634	3	440
279	3	6
136	4	84
